hand,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,10_win,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie,10_tie,EV_2p,rec_2p,tag_2p,EV_3p,rec_3p,tag_3p,EV_4p,rec_4p,tag_4p,EV_5p,rec_5p,tag_5p,EV_6p,rec_6p,tag_6p,EV_7p,rec_7p,tag_7p,EV_8p,rec_8p,tag_8p,EV_9p,rec_9p,tag_9p,EV_10p,rec_10p,tag_10p
TKo,0.5849951505661011,0.4061571955680847,0.3109795153141022,0.2514636218547821,0.2098154872655868,0.1785461455583572,0.15409717,0.1345305740833282,0.1186349764466285,0.012448358,0.013062404,0.012977274,0.012854952,0.012760648,0.012680391,0.012568341,0.012414382,0.012221468,0.18243865948170424,Call,Strong,0.23806519201025367,Call,Strong,0.26987260952591896,Call,Strong,0.28945549018681027,Call,Strong,0.2971748663112517,Call,Strong,0.29420438688248374,Call,Strong,0.28305071964859874,Call,Strong,0.2666398850269609,Call,Strong,0.2474571028724306,Call,Strong
TQo,0.5595200657844543,0.3889487087726593,0.3002521991729736,0.244093046,0.2042051553726196,0.1740792393684387,0.1505933552980423,0.1319183111190796,0.1168692931532859,0.013436252,0.013079571,0.012746083,0.012624631,0.012588331,0.012561005,0.012498436,0.012402628,0.01227792,0.13247638382017612,Call,Strong,0.18646548222750403,Call,Strong,0.22650096192955926,Call,Strong,0.25202680472284533,Call,Strong,0.2629959266632793,Call,Strong,0.26251819171011403,Call,Strong,0.2547405846416948,Call,Strong,0.24307662434875943,Call,Strong,0.23008253052830585,Call,Strong
TJo,0.5382962822914124,0.3772438168525696,0.2942536473274231,0.2406660467386245,0.2020935267210006,0.1728976964950561,0.1502248644828796,0.1323245018720626,0.1179969757795333,0.014217501,0.0130645,0.012698523,0.012690812,0.012758956,0.012804175,0.012800166,0.012757899,0.012690703,0.090810065,Call,Speculative,0.15132820047438145,Call,Strong,0.20241163484752178,Call,Strong,0.23505726456642084,Call,Strong,0.25083802919834786,Call,Strong,0.25509848725050643,Call,Strong,0.2529995813965793,Call,Strong,0.24833106342703037,Call,Strong,0.2434232747182239,Call,Strong
TTo,0.7466171979904175,0.5723778605461121,0.4485216736793518,0.3595941662788391,0.2951228022575378,0.247877151,0.2128617167472839,0.1865538656711578,0.166534737,0.003515669,0.00332886,0.003490786,0.003743832,0.004013519,0.004275192,0.004514061,0.00472582,0.004904353,0.4967500646598637,Raise,Strong,0.7221268713474271,Raise,Premium,0.8010682663880289,Raise,Premium,0.8073304108111186,Raise,Premium,0.7827773699536915,Raise,Premium,0.7501032275613388,Raise,Premium,0.7209499776363368,Raise,Premium,0.7002509827725585,Raise,Premium,0.6898691328242408,Raise,Premium
T9s,0.5237324237823486,0.3737072646617889,0.296692818,0.2469022870063781,0.2114621549844741,0.1851297914981842,0.1650193482637405,0.1492780745029449,0.1366892606019973,0.016514422,0.013749131,0.012829443,0.012538906,0.012381634,0.012227784,0.012062582,0.011910865,0.011768904,0.06397927,Call,Speculative,0.1417454904876645,Call,Strong,0.21243015863001324,Call,Strong,0.2658587004989379,Call,Strong,0.3059178311377757,Raise,Strong,0.33870578417554476,Raise,Strong,0.36840511485934213,Raise,Strong,0.3971015634015196,Raise,Strong,0.4257371239364134,Raise,Strong
T8s,0.5051248669624329,0.3520024120807647,0.2752726376056671,0.226837009,0.1930576413869857,0.1683596521615982,0.1497056782245636,0.1352193057537078,0.1236643120646476,0.01825683,0.014768717,0.013435623,0.012922065,0.012641421,0.012409632,0.012191571,0.011991335,0.011809242,0.028506564,Call,Speculative,0.078160312,Call,Speculative,0.12796179577708222,Call,Strong,0.1664902092888949,Call,Strong,0.19627011008560613,Call,Strong,0.22195127746090293,Call,Strong,0.24641171097755388,Call,Strong,0.2709347596392029,Call,Strong,0.29568933043628864,Call,Strong
T7s,0.4864775538444519,0.3307863473892212,0.254862517,0.2080279439687729,0.1759530454874038,0.1527960747480392,0.1354570835828781,0.1220292374491691,0.1113489270210266,0.019878674,0.015686709,0.01394646,0.013247373,0.012861206,0.012566502,0.012300654,0.012064793,0.011843327,-0.007166218,Fold,Speculative,0.015889106318354607,Call,Speculative,0.047342988,Call,Speculative,0.073258151,Call,Speculative,0.094301892,Call,Speculative,0.11355528095737055,Call,Strong,0.13285928592085816,Call,Strong,0.15255470620468214,Call,Strong,0.1727059027180069,Call,Strong
T6s,0.4680254161357879,0.3103871047496795,0.2356531023979187,0.1905739158391952,0.1602179259061813,0.1385529190301895,0.1224117055535316,0.1099305748939514,0.099979028,0.021416454,0.016481902,0.014386114,0.013550682,0.013101446,0.012762971,0.012470446,0.012207275,0.011957854,-0.042532714,Fold,Speculative,-0.044115832,Fold,Speculative,-0.028615363,Fold,Speculative,-0.013253716,Fold,Speculative,0.000611895,Call,Speculative,0.014540832489728484,Call,Speculative,0.029175426810979177,Call,Speculative,0.044307913,Call,Speculative,0.059579551,Call,Speculative
T5s,0.4493923485279083,0.2906959056854248,0.2177039086818695,0.1747317910194397,0.1462690383195877,0.1260991096496582,0.1111197173595428,0.09952461,0.090254553,0.022771679,0.017099828,0.014748055,0.013848647,0.013393224,0.013075205,0.012802955,0.012553504,0.012305828,-0.078443624,Fold,Speculative,-0.102262542,Fold,Speculative,-0.099688254,Fold,Speculative,-0.091719429,Fold,Speculative,-0.082206097,Fold,Speculative,-0.071543013,Fold,Speculative,-0.059830442,Fold,Speculative,-0.047787745,Fold,Speculative,-0.035925334,Fold,Speculative
T4s,0.4420453906059265,0.2846990823745727,0.2127059698104858,0.1706785261631012,0.1430158615112304,0.12351279,0.1090475991368293,0.097864605,0.088923514,0.023267286,0.017159024,0.014623156,0.013566561,0.012974407,0.01253257,0.012156895,0.011817175,0.01149887,-0.092641933,Fold,Speculative,-0.120164216,Fold,Speculative,-0.119929809,Fold,Speculative,-0.112690967,Fold,Speculative,-0.102981611,Fold,Speculative,-0.091546476,Fold,Speculative,-0.078991625,Fold,Speculative,-0.066041263,Fold,Speculative,-0.053270509,Fold,Speculative
